route_short_name,direction_id,stop_id,year,peak,total_delay_seconds,n_obs
1,0,9022001010008002,2026,Dag,2324,19
1,0,9022001010008002,2026,EM-topp,1762,13
1,0,9022001010008002,2026,FM-topp,366,10
1,0,9022001010008002,2026,Natt,2306,22
1,0,9022001010008002,2025,Dag,12929,66
1,0,9022001010008002,2025,EM-topp,3511,37
1,0,9022001010008002,2025,FM-topp,355,5
1,0,9022001010008002,2025,Natt,-6285,44
1,0,9022001010008002,2026,Dag,327721,2226
1,0,9022001010008002,2026,EM-topp,218376,1355
1,0,9022001010008002,2026,FM-topp,92264,834
1,0,9022001010008002,2026,Natt,226867,1774
1,0,9022001010012002,2026,Dag,2921,21
1,0,9022001010012002,2026,EM-topp,2198,15
1,0,9022001010012002,2026,FM-topp,471,10
1,0,9022001010012002,2026,Natt,2335,22
1,0,9022001010012002,2025,Dag,14722,70
1,0,9022001010012002,2025,EM-topp,4576,41
1,0,9022001010012002,2025,FM-topp,403,5
1,0,9022001010012002,2025,Natt,-5653,46
1,0,9022001010012002,2026,Dag,380729,2317
1,0,9022001010012002,2026,EM-topp,247675,1436
1,0,9022001010012002,2026,FM-topp,99577,842
1,0,9022001010012002,2026,Natt,247671,1809
1,0,9022001010014002,2026,Dag,3511,22
1,0,9022001010014002,2026,EM-topp,2520,15
1,0,9022001010014002,2026,FM-topp,690,10
1,0,9022001010014002,2026,Natt,2865,23
1,0,9022001010014002,2025,Dag,18086,78
1,0,9022001010014002,2025,EM-topp,6909,49
1,0,9022001010014002,2025,FM-topp,509,5
1,0,9022001010014002,2025,Natt,-4471,48
1,0,9022001010014002,2026,Dag,476100,2480
1,0,9022001010014002,2026,EM-topp,301366,1505
1,0,9022001010014002,2026,FM-topp,123209,865
1,0,9022001010014002,2026,Natt,301752,1872
1,0,9022001010019001,2026,Dag,2457,24
1,0,9022001010019001,2026,EM-topp,2166,16
1,0,9022001010019001,2026,FM-topp,159,11
1,0,9022001010019001,2026,Natt,2339,26
1,0,9022001010019001,2025,Dag,16057,83
1,0,9022001010019001,2025,EM-topp,5770,50
1,0,9022001010019001,2025,FM-topp,385,5
1,0,9022001010019001,2025,Natt,-5576,50
1,0,9022001010019001,2026,Dag,375218,2665
1,0,9022001010019001,2026,EM-topp,251184,1598
1,0,9022001010019001,2026,FM-topp,90392,901
1,0,9022001010019001,2026,Natt,247309,1976
1,0,9022001010024002,2026,Dag,1521,25
1,0,9022001010024002,2026,EM-topp,1603,17
1,0,9022001010024002,2026,FM-topp,-332,11
1,0,9022001010024002,2026,Natt,1591,26
1,0,9022001010024002,2025,Dag,13251,83
1,0,9022001010024002,2025,EM-topp,4513,51
1,0,9022001010024002,2025,FM-topp,172,5
1,0,9022001010024002,2025,Natt,-6085,59
1,0,9022001010024002,2026,Dag,322579,2795
1,0,9022001010024002,2026,EM-topp,221835,1690
1,0,9022001010024002,2026,FM-topp,59147,933
1,0,9022001010024002,2026,Natt,225975,2177
1,0,9022001010028001,2026,Dag,-8250,36
1,0,9022001010028001,2026,EM-topp,-3474,26
1,0,9022001010028001,2026,FM-topp,-3491,13
